timestamp,device_id,lat,lon,alt,battery,rssi,snr
1777365598,4219518239,52.5152936,85.1578919,193,41,-40,6.2
1777365658,4219518239,52.5152936,85.1578919,193,47,-40,6.2
1777365718,4219518239,52.5152936,85.1578919,193,49,-40,6.2
1777365779,4219518239,52.5152936,85.1578919,193,50,-40,6.2
1777365417,4219518239,52.5153198,85.1579253,193,9,-31,5.8
1777365477,4219518239,52.51532,85.1579307,193,17,-31,5.8
1777365839,4219518239,52.5152936,85.1578919,193,50,-31,5.8
1777365900,4219518239,52.5152936,85.1578919,193,50,-31,5.8
1777366015,4219518239,52.5143916,85.158275,259,52,-45,6.2
1777366076,4219518239,52.5143916,85.158275,259,53,-45,6.2
1777366136,4219518239,52.5143916,85.158275,259,55,-45,6.2
1777366197,4219518239,52.5143916,85.158275,259,53,-45,6.2
1777366257,4219518239,52.5143916,85.158275,259,56,-59,6.8
1777366318,4219518239,52.5143916,85.158275,259,57,-59,6.8
1777366378,4219518239,52.5143916,85.158275,259,55,-59,6.8
1777366439,4219518239,52.5143916,85.158275,259,58,-59,6.8
1777366560,4219518239,52.5143916,85.158275,259,59,-83,5.8
1777366620,4219518239,52.5143916,85.158275,259,61,-83,5.8
1777366681,4219518239,52.5143916,85.158275,259,30,-83,5.8
1777366741,4219518239,52.5143916,85.158275,259,27,-83,5.8
1777366862,4219518239,52.5143916,85.158275,259,28,-71,5.8
1777366923,4219518239,52.5143916,85.158275,259,28,-71,5.8
1777366983,4219518239,52.5143916,85.158275,259,27,-71,5.8
1777367044,4219518239,52.5143916,85.158275,259,27,-71,5.8
1777365598,4219518239,52.5152936,85.1578919,193,41,-51,6.8
1777365658,4219518239,52.5152936,85.1578919,193,47,-51,6.8
1777365718,4219518239,52.5152936,85.1578919,193,49,-51,6.8
1777365779,4219518239,52.5152936,85.1578919,193,50,-51,6.8
1777365417,4219518239,52.5153198,85.1579253,193,9,-15,7.0
1777365477,4219518239,52.51532,85.1579307,193,17,-15,7.0
1777365839,4219518239,52.5152936,85.1578919,193,50,-15,7.0
1777365900,4219518239,52.5152936,85.1578919,193,50,-15,7.0
1777366015,4219518239,52.5143916,85.158275,259,52,0,6.2
1777366076,4219518239,52.5143916,85.158275,259,53,0,6.2
1777366136,4219518239,52.5143916,85.158275,259,55,0,6.2
1777366197,4219518239,52.5143916,85.158275,259,53,0,6.2
1777366257,4219518239,52.5143916,85.158275,259,56,0,7.0
1777366318,4219518239,52.5143916,85.158275,259,57,0,7.0
1777366378,4219518239,52.5143916,85.158275,259,55,0,7.0
1777366439,4219518239,52.5143916,85.158275,259,58,0,7.0
